,log_standard_value,Y_pred,bioactivity_class_real,bioactivity_class_pred
3708,4.953309778629943,5.084014058558256,active,intermediate
3716,6.031517051446065,5.999536509634458,inactive,intermediate
3736,4.8696662315049934,5.066492702617316,active,intermediate
3740,4.912928794093465,5.175083185399813,active,intermediate
3772,5.981299501333757,6.081745134279202,intermediate,inactive
3773,4.319664486585436,5.084575192608785,active,intermediate
3776,6.153662887870195,5.662823814827295,inactive,intermediate
3777,5.42021640338319,6.026059292335259,intermediate,inactive
3788,6.00436480540245,5.912913540151677,inactive,intermediate
3812,6.008773924307505,5.820078950243302,inactive,intermediate
3814,6.060480747381382,5.80580926418315,inactive,intermediate
3824,5.543633966870957,6.010190440644623,intermediate,inactive
3846,6.080921907623926,5.884068317354887,inactive,intermediate
3849,6.008773924307505,5.834524405467896,inactive,intermediate
3854,6.136677139879544,5.989372466297128,inactive,intermediate
3867,5.533132379645891,7.32111980396653,intermediate,inactive
3891,5.955852379121277,6.164314462296936,intermediate,inactive
3911,5.075720713938118,4.9605023232716965,intermediate,active
3929,6.1487416512809245,5.917005115891011,inactive,intermediate
3931,4.9542859410591324,5.020554770372972,active,intermediate
3950,6.154901959985743,5.748809046020154,inactive,intermediate
3951,5.87942606879415,6.139362217877887,intermediate,inactive
3956,4.580044251510242,5.046960397355925,active,intermediate
3958,6.292429823902063,5.833485244601548,inactive,intermediate
3982,4.903089986991944,5.09416154588864,active,intermediate
3989,5.096910013008056,4.938635765832409,intermediate,active
3996,4.847711655616943,5.317491963538565,active,intermediate
3998,5.0,5.079675240082637,active,intermediate
3999,5.0,5.0676504293466085,active,intermediate
4000,5.0,5.306450122822122,active,intermediate
4016,6.0,5.941543870809288,inactive,intermediate
4017,6.0,5.8335846470494905,inactive,intermediate
4019,6.0,5.948059407618888,inactive,intermediate
4020,6.0,5.909796137317978,inactive,intermediate
4021,6.0,5.964978792278449,inactive,intermediate
4046,5.096910013008056,4.431972694914844,intermediate,active
4054,4.953895212753961,5.147964638876018,active,intermediate
4057,6.107905397309519,5.7381764368580574,inactive,intermediate
4060,5.134303940083929,4.846118838505511,intermediate,active
4147,5.1180450286604,4.8816520066423745,intermediate,active
4158,4.910094888560602,5.002341126202287,active,intermediate
4159,4.928117992693875,5.223678737146499,active,intermediate
4174,6.154901959985743,5.903856984624098,inactive,intermediate
4192,6.0,5.950559098845932,inactive,intermediate
4215,5.0,5.063969116855444,active,intermediate
4216,5.0,5.063969116855444,active,intermediate
4219,6.119186407719209,5.517416801920428,inactive,intermediate
4220,4.698970004336019,5.517416801920428,active,intermediate
4222,4.818156412055227,5.137681058721458,active,intermediate
4227,6.050609993355087,5.841498416244617,inactive,intermediate
4229,5.903089986991944,6.174031009554508,intermediate,inactive
4231,5.863279432843593,6.231533265607539,intermediate,inactive
4233,6.0,5.990028584655899,inactive,intermediate
4251,5.057991946977687,4.9444465218273095,intermediate,active
4252,5.039529222465701,4.931323493249784,intermediate,active
4256,5.054039296422431,4.964612830275576,intermediate,active
4262,5.0,5.084147896781311,active,intermediate
4263,5.0,5.211108108708572,active,intermediate
4264,5.0,5.0021823651122945,active,intermediate
4266,5.0,5.341637867729553,active,intermediate
4267,5.0,5.231972401907936,active,intermediate
4291,5.214670164989233,4.7503579114023236,intermediate,active
4333,5.0,5.943322930716207,active,intermediate
4335,5.0,5.713796726506042,active,intermediate
4337,5.0,5.513630946835644,active,intermediate
4343,5.0,5.310171968470616,active,intermediate
4344,5.0,5.309009547673586,active,intermediate
4346,5.0,5.86477476675617,active,intermediate
4350,5.0,5.546027157989738,active,intermediate
4365,5.0,5.809925269811106,active,intermediate
4369,6.034798298974088,5.660346039594585,inactive,intermediate
4370,5.0,5.0423640515337365,active,intermediate
4371,5.0,5.198266814752916,active,intermediate
4372,5.0,5.30212538323544,active,intermediate
4373,5.0,5.311178252812148,active,intermediate
4375,5.0,5.10899990905963,active,intermediate
4376,5.0,5.0372035748018895,active,intermediate
4377,5.0,5.090518817495037,active,intermediate
4378,5.0,5.074163275025243,active,intermediate
4379,5.0,5.105943903377882,active,intermediate
4380,5.0,5.108098178733669,active,intermediate
4381,5.0,5.104045837140348,active,intermediate
4382,5.0,5.090010178040585,active,intermediate
4383,5.0,5.413433420556598,active,intermediate
4384,5.0,5.866636979541493,active,intermediate
4392,6.050609993355087,5.999934752786981,inactive,intermediate
4394,4.975104039892515,5.270689882390319,active,intermediate
4395,4.522878745280337,5.276086020911577,active,intermediate
4396,4.522878745280337,5.331115921548245,active,intermediate
4397,4.97061622231479,5.408235081110869,active,intermediate
4400,5.0,5.278757535548781,active,intermediate
4401,5.0,5.258057748919296,active,intermediate
4402,5.0,5.2783967326848575,active,intermediate
4404,5.0,5.340655025158892,active,intermediate
4405,5.0,5.376304435906516,active,intermediate
4415,5.0,5.67696544885909,active,intermediate
4417,5.0,5.6826362785017865,active,intermediate
4418,4.966576244513051,5.033169943207558,active,intermediate
4420,4.995678626217358,5.1375650067856045,active,intermediate
4425,4.617982957425132,5.170683388764891,active,intermediate
4429,4.525783735923745,5.2771928330397335,active,intermediate
4463,5.9677842967020185,6.183096263739274,intermediate,inactive
4512,5.0,5.174607876972273,active,intermediate
4518,5.638272163982407,6.0068387136696995,intermediate,inactive
4540,4.698970004336019,5.032351802503415,active,intermediate
4563,6.229147988357855,5.717320546699062,inactive,intermediate
4567,4.879999913868448,5.540965607610345,active,intermediate
4574,6.182434630440219,5.906694783202222,inactive,intermediate
4579,4.651695136951839,5.036969295798883,active,intermediate
4599,6.013228265733755,5.931277047764902,inactive,intermediate
4603,6.0655015487564325,5.807761097244733,inactive,intermediate
4620,4.698970004336019,5.090839420081645,active,intermediate
4623,4.886056647693163,5.13665022837188,active,intermediate
4624,4.7447274948966935,5.0016685809555375,active,intermediate
4631,5.0,5.074007024514557,active,intermediate
4633,4.994304818881489,5.129166069063271,active,intermediate
4637,5.939302159646388,6.0270411493953615,intermediate,inactive
4647,6.236572006437063,5.971892657476554,inactive,intermediate
4657,5.835647144215563,6.16529570806501,intermediate,inactive
4663,6.013228265733755,5.973095463322107,inactive,intermediate
4668,5.200659450546418,4.584431164333797,intermediate,active
4687,6.008773924307505,5.952161812121711,inactive,intermediate
4705,6.107905397309519,5.8087787233136945,inactive,intermediate
4716,5.920818753952375,6.179174304399616,intermediate,inactive
4721,6.075720713938118,5.97526317753898,inactive,intermediate
4722,6.050609993355087,5.952308197928167,inactive,intermediate
4724,6.0655015487564325,5.986944639561067,inactive,intermediate
4741,4.522878745280337,5.192870099046798,active,intermediate
4755,5.187086643357144,4.963094655906349,intermediate,active
4766,5.563837352959244,6.1069938706119755,intermediate,inactive
4767,6.045757490560675,5.856729905898804,inactive,intermediate
4769,4.892790030352131,5.1124253318957855,active,intermediate
4775,5.978810700930062,6.05946090253937,intermediate,inactive
4809,4.92299567320665,5.38005621118422,active,intermediate
4814,5.0,5.167558423507505,active,intermediate
4815,5.0,5.041147170351019,active,intermediate
4816,5.055024091587952,4.932991927868771,intermediate,active
4818,5.0,5.0340715221710335,active,intermediate
4822,5.0,5.010933045869638,active,intermediate
4823,5.0,5.002823056676138,active,intermediate
